Mix_ID,PCC_%,Age_days,Sample_No,Weight_lb,Avg_Length_in,Avg_Diameter_in,Area_in2,Max_Load_lbf,Max_Stress_psi,Strength_MPa,Water_lbs,Cement_lbs,FineAgg_lbs,CoarseAgg_lbs,PCC_lbs,WaterCement_Ratio,TotalAgg_lbs,FineCoarse_Ratio,TotalMix_lbs,PCC_Fraction,PCC_Cement_Ratio,Cylinder_Volume_in3,Density_lb_per_in3
20% PCC,20,1,1,8.3465,8.066,3.999,12.5664,21003.0,1672.2,11.529413140338,41.024,75.1616,109.568,221.408,18.7904,0.545810626702997,330.976,0.494869200751554,465.952,0.0403269006249571,0.25,101.309671537755,0.0823860138258322
20% PCC,20,1,2,8.3505,8.04,4.025,12.724,21073.2,1655.91,11.4170975440839,41.024,75.1616,109.568,221.408,18.7904,0.545810626702997,330.976,0.494869200751554,465.952,0.0403269006249571,0.25,102.300486611962,0.0816271777051702
20% PCC,20,1,3,8.485,8.115,3.988,12.5056,19303.0,1545.42,10.6552958111118,41.024,75.1616,109.568,221.408,18.7904,0.545810626702997,330.976,0.494869200751554,465.952,0.0403269006249571,0.25,101.365158735189,0.0837072629873404
20% PCC,20,7,1,8.475,8.154,3.978,12.429,56868.1,4575.03,31.5437214444687,41.024,75.1616,109.568,221.408,18.7904,0.545810626702997,330.976,0.494869200751554,465.952,0.0403269006249571,0.25,101.342157545727,0.0836275860436068
20% PCC,20,7,2,8.458,8.038,3.974,12.404,54796.2,4635.47,31.9604405750763,41.024,75.1616,109.568,221.408,18.7904,0.545810626702997,330.976,0.494869200751554,465.952,0.0403269006249571,0.25,99.6996442758179,0.08483480619651
20% PCC,20,7,3,8.56,8.173,3.944,12.217,53777.5,4400.11,30.3376904993019,41.024,75.1616,109.568,221.408,18.7904,0.545810626702997,330.976,0.494869200751554,465.952,0.0403269006249571,0.25,99.8493386839032,0.0857291606817619
20% PCC,20,28,1,8.455,8.096,4.002,12.579,76369.711,6070.665,41.8557617638979,41.024,75.1616,109.568,221.408,18.7904,0.545810626702997,330.976,0.494869200751554,465.952,0.0403269006249571,0.25,101.83909926468,0.0830231223670336
20% PCC,20,28,2,8.432,8.087,3.982,12.4535,72844.18,5847.6,40.317782729004,41.024,75.1616,109.568,221.408,18.7904,0.545810626702997,330.976,0.494869200751554,465.952,0.0403269006249571,0.25,100.711678896741,0.0837241528725313
20% PCC,20,28,3,8.475,8.055,4.007,12.5789,57582.4,4577.68,31.5619925512872,41.024,75.1616,109.568,221.408,18.7904,0.545810626702997,330.976,0.494869200751554,465.952,0.0403269006249571,0.25,101.576702694937,0.0834344862074605
20% PCC,20,56,1,8.487,8.111,3.981,12.4472736222597,76326.6,6128.25,42.2527963624425,41.024,75.1616,109.568,221.408,18.7904,0.545810626702997,330.976,0.494869200751554,465.952,0.0403269006249571,0.25,100.959836350149,0.0840631315067251
20% PCC,20,56,2,8.835,7.87,3.986,12.4785599580987,76678.4,6144.24,42.3630435315096,41.024,75.1616,109.568,221.408,18.7904,0.545810626702997,330.976,0.494869200751554,465.952,0.0403269006249571,0.25,98.2062668702367,0.0899637088504137
20% PCC,20,56,3,8.453,8.028,3.996,12.5412504395011,80522.7,6420.63,44.2686854988927,41.024,75.1616,109.568,221.408,18.7904,0.545810626702997,330.976,0.494869200751554,465.952,0.0403269006249571,0.25,100.681158528315,0.0839581121588183
20% PCC,20,90,1,8.514,8.144,3.9606,12.3200323339492,79740.2,6470.52,44.6126649400908,41.024,75.1616,109.568,221.408,18.7904,0.545810626702997,330.976,0.494869200751554,465.952,0.0403269006249571,0.25,100.334343327683,0.0848562886607438
20% PCC,20,90,2,8.605,8.074,3.985,12.4722995493382,82144.0,6589.95,45.4361058032355,41.024,75.1616,109.568,221.408,18.7904,0.545810626702997,330.976,0.494869200751554,465.952,0.0403269006249571,0.25,100.701346561357,0.0854506944925211
20% PCC,20,90,3,8.398,8.096,3.987,12.4848219376555,79151.6,6343.31,43.7355828652299,41.024,75.1616,109.568,221.408,18.7904,0.545810626702997,330.976,0.494869200751554,465.952,0.0403269006249571,0.25,101.077118407259,0.0830850753596169
25% PCC,25,1,1,8.379,8.079,3.975,12.41,18626.4,1500.95,10.3486859544255,41.024,70.464,109.568,221.408,23.488,0.582198001816531,330.976,0.494869200751554,465.952,0.0504086257811964,0.333333333333333,100.258627610842,0.0835738549356917
